epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3993,0.74225,1.95715,1.38416,0.86955,0.84461,0.89298,0.64144,1.02144,1.96525,2.00988,0.000413793,0.000413793,0.000413793
2,95.7065,0.74772,1.24259,1.36899,0.88272,0.86155,0.92908,0.69851,0.96382,1.37463,1.91927,0.000822238,0.000822238,0.000822238
3,142.741,0.73915,1.03525,1.35799,0.78767,0.79584,0.84993,0.59426,1.14252,1.35294,1.82561,0.00122243,0.00122243,0.00122243
4,189.627,0.72495,0.92768,1.34617,0.91507,0.89623,0.94266,0.69097,0.99423,0.97826,1.82001,0.00121287,0.00121287,0.00121287
5,236.231,0.7063,0.80023,1.32477,0.89622,0.88603,0.94437,0.75097,0.83746,0.95408,1.51931,0.0012005,0.0012005,0.0012005
6,283.148,0.68713,0.75765,1.31369,0.95322,0.90176,0.95902,0.74868,0.93704,0.72144,1.58105,0.00118812,0.00118812,0.00118812
7,330.253,0.65877,0.71838,1.29228,0.93378,0.90699,0.95163,0.72644,0.92776,0.80347,1.67058,0.00117575,0.00117575,0.00117575
8,377.163,0.64926,0.65086,1.2874,0.92298,0.92858,0.95617,0.73449,0.91665,0.71775,1.7271,0.00116337,0.00116337,0.00116337
9,424.212,0.6349,0.63616,1.27635,0.89404,0.89823,0.95563,0.77494,0.84495,0.76866,1.51913,0.001151,0.001151,0.001151
10,471.423,0.61757,0.61947,1.26158,0.91461,0.91291,0.95888,0.76711,0.89339,0.70657,1.5168,0.00113863,0.00113863,0.00113863
11,519.763,0.61206,0.59008,1.25114,0.95543,0.94912,0.9727,0.78321,0.82857,0.6954,1.49265,0.00112625,0.00112625,0.00112625
12,568.765,0.60403,0.59252,1.24951,0.96475,0.96298,0.98128,0.78296,0.76312,0.53346,1.39452,0.00111388,0.00111388,0.00111388
13,617.297,0.59844,0.56732,1.24206,0.96157,0.96114,0.98128,0.81781,0.7167,0.48279,1.34021,0.0011015,0.0011015,0.0011015
14,665.443,0.58652,0.55651,1.22949,0.95498,0.91501,0.95446,0.78832,0.84414,0.59382,1.36441,0.00108913,0.00108913,0.00108913
15,713.798,0.58232,0.54477,1.23493,0.96333,0.94292,0.98613,0.83564,0.70588,0.51533,1.30619,0.00107675,0.00107675,0.00107675
16,762.272,0.57285,0.52918,1.22486,0.97213,0.9649,0.9831,0.81671,0.74486,0.50211,1.35872,0.00106437,0.00106437,0.00106437
17,809.912,0.57284,0.52811,1.22124,0.97628,0.96018,0.98125,0.81929,0.75997,0.51194,1.39342,0.001052,0.001052,0.001052
18,857.04,0.5611,0.49901,1.21463,0.94889,0.95212,0.97012,0.81675,0.74325,0.52367,1.31048,0.00103962,0.00103962,0.00103962
19,904.141,0.5499,0.51665,1.2065,0.97231,0.96157,0.97904,0.81698,0.75919,0.53779,1.3495,0.00102725,0.00102725,0.00102725
20,951.996,0.57204,0.49312,1.23086,0.96821,0.978,0.98429,0.82217,0.77434,0.47945,1.33737,0.00101488,0.00101488,0.00101488
21,999.714,0.54357,0.49376,1.20553,0.97334,0.96919,0.98091,0.82326,0.74728,0.47989,1.35583,0.0010025,0.0010025,0.0010025
22,1047.2,0.53315,0.47479,1.18947,0.97694,0.97493,0.98596,0.81112,0.71772,0.5155,1.3392,0.000990125,0.000990125,0.000990125
23,1094.23,0.55222,0.47882,1.2085,0.96196,0.95515,0.98635,0.82411,0.75664,0.48653,1.3641,0.00097775,0.00097775,0.00097775
24,1141.14,0.52868,0.46678,1.19412,0.98197,0.96263,0.98654,0.84062,0.70836,0.45765,1.31675,0.000965375,0.000965375,0.000965375
25,1188.25,0.53859,0.46682,1.19776,0.96763,0.96448,0.97907,0.83538,0.68601,0.46758,1.28531,0.000953,0.000953,0.000953
26,1235.71,0.53666,0.44341,1.19306,0.96703,0.97958,0.98107,0.83832,0.66731,0.41491,1.28089,0.000940625,0.000940625,0.000940625
27,1282.93,0.52554,0.44557,1.18875,0.96572,0.98453,0.98732,0.85205,0.64371,0.39577,1.21084,0.00092825,0.00092825,0.00092825
28,1330.02,0.52848,0.43478,1.17816,0.98594,0.97939,0.98875,0.84853,0.67268,0.4139,1.23706,0.000915875,0.000915875,0.000915875
29,1376.94,0.515,0.42308,1.18441,0.97641,0.98021,0.98753,0.8498,0.68104,0.41085,1.27042,0.0009035,0.0009035,0.0009035
30,1424.11,0.51086,0.4363,1.18194,0.9753,0.97305,0.98755,0.83419,0.72321,0.41638,1.30434,0.000891125,0.000891125,0.000891125
31,1471.43,0.49821,0.41451,1.16632,0.98789,0.97743,0.98578,0.84962,0.67255,0.40042,1.27101,0.00087875,0.00087875,0.00087875
32,1518.9,0.50797,0.44504,1.18004,0.96938,0.96915,0.99009,0.84904,0.64864,0.41926,1.22987,0.000866375,0.000866375,0.000866375
33,1568.77,0.49996,0.40917,1.1641,0.96554,0.98374,0.9886,0.84082,0.70266,0.45408,1.27426,0.000854,0.000854,0.000854
34,1622.81,0.50056,0.40323,1.17029,0.96829,0.97627,0.98575,0.84563,0.66498,0.41155,1.23619,0.000841625,0.000841625,0.000841625
35,1676.67,0.49931,0.40808,1.16988,0.98054,0.97169,0.99081,0.84885,0.70088,0.41313,1.3012,0.00082925,0.00082925,0.00082925
36,1725.15,0.49638,0.40122,1.17085,0.97752,0.95778,0.98587,0.84676,0.6885,0.43356,1.2753,0.000816875,0.000816875,0.000816875
37,1772.33,0.49134,0.39685,1.15828,0.97516,0.98304,0.98753,0.84811,0.69028,0.40948,1.30399,0.0008045,0.0008045,0.0008045
38,1819.71,0.49577,0.41015,1.16577,0.97109,0.98728,0.98927,0.85119,0.70663,0.41469,1.29333,0.000792125,0.000792125,0.000792125
39,1867.24,0.47897,0.38201,1.14835,0.96874,0.98988,0.99173,0.84123,0.72391,0.4137,1.294,0.00077975,0.00077975,0.00077975
40,1914.85,0.48478,0.38306,1.15657,0.97739,0.98453,0.99055,0.85382,0.68253,0.40497,1.24192,0.000767375,0.000767375,0.000767375
41,1962.5,0.47826,0.38776,1.15115,0.98354,0.96585,0.9875,0.85338,0.63921,0.3798,1.2235,0.000755,0.000755,0.000755
42,2009.45,0.48202,0.3876,1.14971,0.97196,0.97886,0.9892,0.84318,0.68576,0.41901,1.25164,0.000742625,0.000742625,0.000742625
43,2056.62,0.48857,0.38598,1.15672,0.97859,0.97692,0.98835,0.84894,0.64276,0.37747,1.23049,0.00073025,0.00073025,0.00073025
44,2103.43,0.47781,0.38766,1.14667,0.97849,0.98402,0.98876,0.86068,0.64579,0.37763,1.22185,0.000717875,0.000717875,0.000717875
45,2150.82,0.47524,0.37106,1.15352,0.95729,0.97585,0.98773,0.84778,0.63158,0.38839,1.2154,0.0007055,0.0007055,0.0007055
46,2197.81,0.46129,0.3781,1.14135,0.97203,0.97087,0.98394,0.82976,0.72762,0.43689,1.30812,0.000693125,0.000693125,0.000693125
47,2245.09,0.47063,0.36557,1.14481,0.97098,0.98265,0.98963,0.86024,0.62948,0.37172,1.20456,0.00068075,0.00068075,0.00068075
48,2292.14,0.46218,0.36329,1.13526,0.98361,0.9765,0.99021,0.85853,0.62539,0.35434,1.18888,0.000668375,0.000668375,0.000668375
49,2339.37,0.4609,0.35536,1.13993,0.9839,0.98124,0.99045,0.86038,0.63107,0.36199,1.19688,0.000656,0.000656,0.000656
50,2386.3,0.45847,0.37302,1.13825,0.98871,0.97956,0.98993,0.8562,0.64362,0.37571,1.21762,0.000643625,0.000643625,0.000643625
51,2433.46,0.4719,0.36139,1.1518,0.98476,0.97377,0.98909,0.85374,0.64764,0.35595,1.22236,0.00063125,0.00063125,0.00063125
52,2480.92,0.45452,0.3566,1.13654,0.98714,0.98318,0.99309,0.86285,0.65686,0.39518,1.23474,0.000618875,0.000618875,0.000618875
53,2528.09,0.45501,0.35187,1.1347,0.97522,0.9795,0.98652,0.85242,0.66654,0.40223,1.25062,0.0006065,0.0006065,0.0006065
54,2575,0.44857,0.35523,1.13403,0.98351,0.98013,0.99216,0.86029,0.6379,0.3627,1.20812,0.000594125,0.000594125,0.000594125
55,2621.92,0.4554,0.35198,1.13535,0.98147,0.99258,0.99339,0.85883,0.64245,0.34489,1.18323,0.00058175,0.00058175,0.00058175
56,2668.91,0.44117,0.34704,1.12505,0.97719,0.98868,0.99246,0.86491,0.64449,0.37721,1.20637,0.000569375,0.000569375,0.000569375
57,2716.05,0.4527,0.35171,1.13439,0.9843,0.98822,0.99097,0.86323,0.63595,0.36173,1.19356,0.000557,0.000557,0.000557
58,2763.55,0.44313,0.33657,1.12197,0.98308,0.98063,0.99263,0.86668,0.63859,0.35468,1.19224,0.000544625,0.000544625,0.000544625
59,2810.65,0.44543,0.34159,1.12539,0.98508,0.98773,0.9927,0.8653,0.63153,0.37871,1.19833,0.00053225,0.00053225,0.00053225
60,2858.08,0.43425,0.3344,1.13067,0.98053,0.98423,0.98867,0.87088,0.59685,0.33168,1.15325,0.000519875,0.000519875,0.000519875
61,2905.37,0.43524,0.32703,1.11465,0.97273,0.98179,0.99193,0.86521,0.60936,0.35047,1.17713,0.0005075,0.0005075,0.0005075
62,2952.55,0.42758,0.33157,1.11882,0.98327,0.98281,0.99215,0.86372,0.60671,0.35496,1.18019,0.000495125,0.000495125,0.000495125
63,2999.8,0.42507,0.32281,1.11667,0.98468,0.99098,0.9925,0.8696,0.61749,0.35737,1.18863,0.00048275,0.00048275,0.00048275
64,3047.56,0.42937,0.32704,1.12317,0.97836,0.98358,0.98927,0.8702,0.60709,0.35707,1.17174,0.000470375,0.000470375,0.000470375
65,3095,0.43888,0.32217,1.12256,0.98181,0.99073,0.99192,0.86954,0.62475,0.34844,1.17506,0.000458,0.000458,0.000458
66,3142.62,0.41791,0.31649,1.11099,0.98426,0.99121,0.99259,0.87031,0.61683,0.34435,1.17364,0.000445625,0.000445625,0.000445625
67,3189.59,0.44052,0.32593,1.12591,0.97534,0.99007,0.98976,0.86803,0.6238,0.3548,1.18986,0.00043325,0.00043325,0.00043325
68,3237.11,0.41699,0.31394,1.10611,0.98859,0.98465,0.99268,0.86885,0.62695,0.38416,1.20409,0.000420875,0.000420875,0.000420875
